provincia_completa,empleo_prom,salario_prom,ln_empleo_prom,provincia_tratada,aglomerado,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,79,2.0,,2,3,1,1.0,,4000.0,S,0.986400009864,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,70,2.0,,2,3,2,1.0,,4000.0,S,0.986400009864,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,64,1.0,36.0,2,1,1,1.0,3.0,3000.0,S,0.739800007398,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,76,4.0,,4,3,1,1.0,,7500.0,S,1.849500018495,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,81,2.0,,3,3,1,1.0,,7500.0,S,1.849500018495,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,82,2.0,,3,3,2,1.0,,7500.0,S,1.849500018495,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,65,4.0,4.0,2,1,1,1.0,3.0,3400.0,S,0.8384400083844,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,37,2.0,20.0,6,1,1,1.0,3.0,8750.0,S,2.1577500215775003,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,40,2.0,20.0,6,1,2,1.0,3.0,8750.0,S,2.1577500215775003,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,11,5.0,,1,3,3,1.0,,8750.0,S,2.1577500215775003,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,7,5.0,,1,4,3,1.0,,8750.0,S,2.1577500215775003,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,68,2.0,,4,3,1,1.0,,1750.0,S,0.4315500043155,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,67,2.0,,4,3,2,1.0,,1750.0,S,0.4315500043155,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,39,5.0,,4,3,3,1.0,,1750.0,S,0.4315500043155,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,11,5.0,,1,3,5,2.0,,1750.0,S,0.4315500043155,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,30,1.0,4.0,6,1,2,1.0,3.0,4250.0,S,1.0480500104805002,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,26,1.0,30.0,6,1,1,1.0,3.0,19000.0,S,4.685400046854,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,27,1.0,48.0,4,1,2,1.0,3.0,19000.0,S,4.685400046854,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,73,5.0,,2,3,1,1.0,,6750.0,S,1.6645500166455,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,44,3.0,0.0,2,1,1,1.0,3.0,2640.0,S,0.6510240065102401,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,17,5.0,16.0,3,1,3,1.0,3.0,2640.0,S,0.6510240065102401,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,12,5.0,,3,3,3,1.0,,2640.0,S,0.6510240065102401,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,2,5.0,,7,4,3,2.0,,2640.0,S,0.6510240065102401,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,15,5.0,,3,3,3,1.0,,2640.0,S,0.6510240065102401,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,87,2.0,,2,3,1,1.0,,8250.0,S,2.0344500203445,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,78,2.0,,2,3,2,1.0,,8250.0,S,2.0344500203445,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,37,1.0,21.0,6,1,1,1.0,3.0,9333.33,S,2.301599201015992,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,32,1.0,24.0,2,1,2,1.0,3.0,9333.33,S,2.301599201015992,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,56,1.0,,3,3,2,1.0,,3000.0,S,0.739800007398,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,18,5.0,,3,3,3,1.0,,3000.0,S,0.739800007398,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,85,2.0,,4,3,1,1.0,,26000.0,S,6.4116000641160005,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,76,2.0,,5,3,2,1.0,,26000.0,S,6.4116000641160005,0
