ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,pobre,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7
66.0,2.0,36.0,3.0,1,1.0,3.0,0,False,False,False,False,False,False,True
50.0,2.0,36.0,3.0,2,1.0,2.0,0,True,False,False,False,False,False,False
73.0,4.0,36.0,3.0,1,1.0,2.0,0,True,False,False,False,False,True,False
19.0,5.0,36.0,3.0,3,1.0,1.0,0,True,False,False,False,True,False,False
71.0,4.0,36.0,3.0,1,1.0,2.0,0,True,False,True,False,False,False,False
27.0,5.0,48.0,1.0,5,1.0,1.0,0,False,False,False,False,True,False,False
23.0,5.0,48.0,1.0,3,1.0,1.0,0,True,False,False,False,True,False,False
23.0,5.0,36.0,3.0,1,1.0,1.0,1,False,False,False,False,True,False,False
63.0,2.0,36.0,3.0,1,1.0,2.0,0,True,False,False,True,False,False,False
76.0,2.0,36.0,3.0,2,1.0,2.0,0,False,False,False,True,False,False,False
39.0,5.0,40.0,1.0,3,1.0,2.0,0,False,False,False,False,True,False,False
45.0,5.0,30.0,1.0,1,1.0,2.0,0,True,False,False,True,False,False,False
23.0,5.0,36.0,3.0,3,1.0,1.0,0,False,False,False,False,True,False,False
41.0,5.0,40.0,1.0,1,1.0,2.0,0,False,False,False,False,False,True,False
24.0,5.0,30.0,1.0,1,1.0,2.0,0,False,False,True,False,False,False,False
27.0,5.0,28.0,1.0,8,1.0,2.0,0,True,False,False,True,False,False,False
5.0,5.0,36.0,4.0,9,2.0,1.0,0,True,False,False,False,False,False,True
60.0,5.0,36.0,3.0,3,1.0,2.0,1,False,True,False,False,False,False,False
52.0,5.0,36.0,3.0,3,1.0,2.0,1,False,True,False,False,False,False,False
60.0,5.0,36.0,3.0,3,2.0,2.0,1,True,False,False,False,False,False,False
48.0,3.0,4.0,1.0,1,1.0,2.0,0,True,False,False,False,False,True,False
25.0,1.0,30.0,1.0,1,1.0,1.0,0,True,False,False,False,True,False,False
25.0,1.0,30.0,1.0,2,1.0,1.0,0,False,False,False,False,True,False,False
78.0,4.0,36.0,3.0,1,1.0,2.0,0,False,True,False,False,False,False,False
27.0,5.0,48.0,1.0,3,1.0,2.0,0,True,False,False,True,False,False,False
15.0,5.0,36.0,3.0,3,1.0,1.0,0,False,False,True,False,False,False,False
74.0,3.0,36.0,3.0,1,1.0,2.0,1,False,False,False,False,True,False,False
34.0,1.0,45.0,1.0,1,1.0,2.0,0,True,False,False,True,False,False,False
38.0,1.0,45.0,1.0,2,1.0,2.0,0,False,False,False,True,False,False,False
7.0,5.0,36.0,4.0,9,2.0,1.0,0,True,False,False,False,False,False,False
5.0,5.0,36.0,4.0,3,2.0,1.0,0,True,False,False,False,False,False,False
63.0,3.0,36.0,3.0,1,1.0,2.0,1,True,False,False,True,False,False,False
28.0,5.0,36.0,3.0,3,1.0,2.0,1,False,False,False,False,False,True,False
13.0,5.0,36.0,3.0,5,1.0,1.0,1,True,False,True,False,False,False,False
74.0,4.0,36.0,3.0,1,1.0,2.0,1,True,False,False,False,False,False,False
32.0,1.0,24.0,1.0,1,1.0,2.0,1,False,False,True,False,False,False,False
34.0,1.0,36.0,3.0,2,1.0,2.0,1,True,False,False,True,False,False,False
12.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,False,False,False,False,False
1.0,5.0,36.0,4.0,3,3.0,2.0,1,False,False,False,False,False,False,True
