provincia_completa,anio,trimestre,empleo_prom_trimestre,salario_prom_trimestre,provincia_tratada
la_pampa,2015,4,389.94007490636704,14769.933704868912,0
la_pampa,2016,1,393.685393258427,14161.850013857678,0
la_pampa,2016,2,396.5805243445693,17284.942541573033,0
la_pampa,2016,3,392.6654275092937,16210.4363732342,0
la_pampa,2016,4,392.24354243542433,20709.181617343173,1
la_pampa,2017,1,384.8981818181818,19784.54903709091,1
la_pampa,2017,2,381.0036231884058,23369.56266884058,1
la_pampa,2017,3,382.4311594202899,21463.06602065217,1
la_pampa,2017,4,386.3369565217391,26482.41071884058,1
la_pampa,2018,1,391.7814814814815,24252.570875185185,1
la_pampa,2018,2,395.0925925925926,28595.241362962963,1
la_pampa,2018,3,384.3949275362319,26633.781589492755,1
la_pampa,2018,4,384.2977941176471,33924.89734558824,1
la_pampa,2019,1,390.1818181818182,33299.63425,1
la_pampa,2019,2,385.20075757575756,40975.02611363636,1
la_pampa,2019,3,385.8636363636364,39114.943113636364,1
la_pampa,2019,4,387.1780303030303,50185.197356060606,1
la_pampa,2020,1,381.4172932330827,51711.27669924812,1
la_pampa,2020,2,375.57358490566037,59426.04829056604,1
la_pampa,2020,3,374.4269662921348,55207.28063670412,1
la_pampa,2020,4,383.36742424242425,71762.55387878788,1
la_pampa,2021,1,390.56704980842915,70042.67668199234,1
la_pampa,2021,2,403.78823529411767,84303.17369803922,1
la_pampa,2021,3,412.28968253968253,82714.6426388889,1
la_pampa,2021,4,414.29527559055117,107616.2526535433,1
la_rioja,2015,1,732.9370629370629,7840.655038461538,0
la_rioja,2015,2,711.1328671328671,10026.07537972028,0
la_rioja,2015,3,642.4545454545455,9472.975072027972,0
la_rioja,2015,4,624.9929078014185,11906.513792907801,0
la_rioja,2016,1,705.5633802816901,10267.561246478872,0
la_rioja,2016,2,692.0597014925373,13471.304841791045,0
la_rioja,2016,3,633.7925925925925,12602.73865111111,0
la_rioja,2016,4,636.6165413533835,16060.622438345865,1
la_rioja,2017,1,780.1555555555556,13934.738853333334,1
la_rioja,2017,2,733.7941176470588,16834.048402205884,1
la_rioja,2017,3,641.2246376811594,16002.268454347824,1
la_rioja,2017,4,638.6911764705883,19788.959255147056,1
la_rioja,2018,1,711.8705035971223,16416.92222733813,1
la_rioja,2018,2,648.0571428571428,20323.403227142855,1
la_rioja,2018,3,622.9852941176471,19230.091188235296,1
la_rioja,2018,4,616.925925925926,25172.07554074074,1
la_rioja,2019,1,738.7313432835821,23530.833413432836,1
la_rioja,2019,2,718.8139534883721,30290.71791472868,1
la_rioja,2019,3,643.3385826771654,29601.791566929136,1
la_rioja,2019,4,619.765625,38074.3305703125,1
la_rioja,2020,1,750.6969696969697,35363.59876439394,1
la_rioja,2020,2,651.6515151515151,41250.47362121212,1
la_rioja,2020,3,598.2153846153847,37727.95423846154,1
la_rioja,2020,4,602.1653543307086,50059.76153543307,1
la_rioja,2021,1,708.5923076923077,47654.875523076924,1
la_rioja,2021,2,686.5461538461539,60135.54596153846,1
la_rioja,2021,3,621.7906976744187,59277.29501550388,1
la_rioja,2021,4,621.4728682170543,77246.87966666666,1
mendoza,2015,1,2553.091503267974,11653.537239215686,0
mendoza,2015,2,2518.9803921568628,14196.953167320262,0
mendoza,2015,3,2443.0849673202615,13080.04265228758,0
mendoza,2015,4,2439.143790849673,15571.0395627451,0
mendoza,2016,1,2509.6960784313724,14865.78323594771,0
mendoza,2016,2,2443.032786885246,18425.10686557377,0
mendoza,2016,3,2413.854785478548,17474.633900330035,0
mendoza,2016,4,2443.6468646864687,20980.65378481848,1
mendoza,2017,1,2559.4488448844886,20038.142573927395,1
mendoza,2017,2,2479.1291390728475,23660.286649006623,1
mendoza,2017,3,2411.156862745098,21846.152863398693,1
mendoza,2017,4,2448.8202614379084,26206.762992810458,1
mendoza,2018,1,2624.9933333333333,24395.980336999997,1
mendoza,2018,2,2556.41,29710.70531233333,1
mendoza,2018,3,2476.345514950166,27151.761383720932,1
mendoza,2018,4,2483.4059405940593,34218.452425082505,1
mendoza,2019,1,2622.66,33581.145046000005,1
mendoza,2019,2,2557.87,42600.227288999995,1
mendoza,2019,3,2459.6866666666665,40208.28246,1
